Read input file. Dedected 134 training Configurations.
         5363383 function calls (5293827 primitive calls) in 6.569 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.008    0.008 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.008    0.008 mathtext.py:1(<module>)
        1    0.000    0.000    0.007    0.007 font_manager.py:1429(_load_fontmanager)
       66    0.000    0.000    0.007    0.000 dataclasses.py:412(_create_fn)
        1    0.000    0.000    0.007    0.007 cm.py:1(<module>)
        1    0.000    0.000    0.007    0.007 Image.py:1(<module>)
     2031    0.006    0.000    0.007    0.000 version.py:444(_cmpkey)
     1256    0.004    0.000    0.007    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.007    0.007 platform.py:1(<module>)
        2    0.000    0.000    0.007    0.003 specifiers.py:299(Specifier)
       95    0.004    0.000    0.007    0.000 {built-in method builtins.eval}
       16    0.000    0.000    0.007    0.000 __init__.py:2135(safe_listdir)
     1191    0.001    0.000    0.006    0.000 genericpath.py:39(isdir)
        1    0.000    0.000    0.006    0.006 spines.py:1(<module>)
        1    0.000    0.000    0.006    0.006 font_manager.py:1010(json_load)
    18102    0.005    0.000    0.006    0.000 sre_parse.py:172(append)
       55    0.006    0.000    0.006    0.000 {built-in method io.open}
      314    0.001    0.000    0.006    0.000 overrides.py:170(decorator)
     1718    0.006    0.000    0.006    0.000 {built-in method numpy.array}
     1682    0.004    0.000    0.006    0.000 _util.py:426(__init__)
        3    0.000    0.000    0.006    0.002 markers.py:1(<module>)
        1    0.000    0.000    0.006    0.006 artist.py:1(<module>)
      903    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
       24    0.000    0.000    0.006    0.000 pyparsing.py:4251(__init__)
    19711    0.005    0.000    0.006    0.000 inspect.py:277(isfunction)
     6313    0.006    0.000    0.006    0.000 {method 'pop' of 'collections.OrderedDict' objects}
    50450    0.006    0.000    0.006    0.000 {built-in method numpy.asarray}
        1    0.000    0.000    0.006    0.006 __init__.py:274(load)
        1    0.000    0.000    0.006    0.006 defmatrix.py:1(<module>)
